element,type,node_i,node_j,length,axial_force
1,3d_frame,1,2,10.0,-58.72543585776087
2,3d_frame,2,3,4.0,-74.39196778378528
3,3d_frame,3,4,4.0,-74.39196778378505
4,3d_frame,5,6,10.0,-58.725435857760864
5,3d_frame,6,7,4.0,-74.39196778378596
6,3d_frame,7,8,4.0,-74.39196778378573
7,3d_frame,1,5,5.0,0.0
8,3d_frame,2,6,5.0,25.473217724303147
9,3d_frame,2,8,9.433981132056603,-49.91764850121888
10,3d_frame,4,6,9.433981132056603,-49.91764850121882
