node,Fx,Fy,Fz,Mx,My,Mz
1,-123.27243900453405,0.9683402100904849,58.72543585776087,-3.2337659474902183,-202.52787690742744,-0.00019396962488502464
4,-116.72756099546586,26.453405435080413,16.27456414223912,0.0,0.0,0.0
5,-123.27243900453405,-0.9683402100904851,58.725435857760864,3.2337659474902205,-202.5278769074274,0.00019396962488504264
8,-116.72756099546655,-26.453405435080413,16.27456414223915,0.0,0.0,0.0
