node,ux,uy,uz,rx,ry,rz
1,0.0,0.0,0.0,0.0,0.01,0.0
2,0.005627780318850507,-6.71762070788531e-05,-0.0006194666229721611,-0.0036214754571220857,-0.02115837413342981,2.521605124261802e-05
3,0.005313890159425253,1.4281179232277545e-05,-0.05000261659084033,0.02305968022734215,0.012249996633484918,1.1954833898901999e-05
4,0.005,0.0,-0.01,0.049740835911806384,-0.020806212367739014,-2.265323152908619e-05
5,0.0,0.0,0.0,0.0,0.01,0.0
6,0.0056277803188505135,6.717620707886394e-05,-0.000619466622972161,0.0036214754571220844,-0.02115837413342979,-2.521605124262036e-05
7,0.005313890159425256,-1.4281179232273745e-05,-0.05000261659084036,-0.023059680227342165,0.012249996633484922,-1.1954833898903147e-05
8,0.005,0.0,-0.01,-0.04974083591180642,-0.02080621236773902,2.2653231529085344e-05
