node,ux,uy,uz,rx,ry,rz
1,0.0,0.0,0.0,0.0,0.0,0.0
2,-0.020685387800023963,-0.053402246269647666,0.021322506828909148,0.016593990547252226,-0.00025252433341897874,-0.002878133867186618
3,-0.03065295853384756,-0.14323197137789126,0.004139876662474925,0.01370765214947232,0.0008161632635489223,-0.0035355124534183586
4,-0.03198539556031847,-0.23959956286623874,-0.015241300793411445,0.019669255595488308,0.0007705636696372681,-0.0034006770425196275
5,-0.03144584424131833,-0.32445361959810587,-0.03451807795450584,0.02051724819357186,0.000828089799465909,-0.002955081493952652
6,0.0026117605165279223,-0.35263971702227215,-0.06459900149579016,0.02300155633184628,-0.0005252825048727008,0.0011084051973193549
7,0.004545304481471249,-0.3215094171924057,-0.053024078444638086,0.021039987947696934,-0.0002636760389974566,0.0015592688597444945
8,0.007263559884448638,-0.27161252710740547,-0.04856506338356977,0.02021923772949424,-0.00029997362106064257,0.0023543683878902806
9,0.010291713033377645,-0.20086054018936084,-0.03788049109154712,0.018588310400712866,-0.0003916063113389638,0.0030178873176165016
10,0.013132279229766697,-0.1090934593820866,-0.024919475725459935,0.01666228262940037,-0.0009352712953568601,0.004473614171450328
11,0.01461773715480623,0.0,0.0,0.0,0.0,0.0
13,-0.014674522841942123,-0.8149568636261592,0.021225929313953007,0.01666096660244151,0.0005818914894905657,0.0006902986761636471
14,-0.014015710539150848,-0.7766254758753328,0.003645629105186893,0.019106534501323887,0.0007226006094054034,0.0012878596182907558
15,-0.012614036430486085,-0.7554164719774973,-0.015292900262480811,0.019606684161118177,0.0007633139127505873,0.0005660036417995993
16,-0.010369695853818214,-0.7425348859391208,-0.034540505844990944,0.020076789804806615,0.0010431459880570594,0.00047496770782041656
17,-0.004825170935980528,-0.7335800774228968,-0.06569202084992246,0.020669164891529937,-0.0001422330634699659,0.00016176136615126622
18,-0.0021043483525018123,-0.7300600034632235,-0.05300922823263389,0.020529019406233452,-0.00038142495467972714,0.00010425874517825054
19,-0.00017250087562342337,-0.7264330165046592,-0.04875945903990637,0.019914353215011765,-0.0002514579169727278,2.585557067096217e-05
20,0.0003077386178686966,-0.7268566230145286,-0.03815993412373837,0.018667538693928683,-0.0005085394834782,-0.0002637894658246908
21,-0.00020993429872405352,-0.735601560137384,-0.02468173044977811,0.01718265414253349,-0.0005170451027895873,-0.00024390212628814842
23,0.0,0.0,0.0,0.0,0.0,0.0
24,0.015153986359870204,-0.05227762852396777,0.07632879313573834,0.016665424519436835,-0.0038646135876507677,-0.0028714530358207218
25,0.019520390877693552,-0.14290911691024474,0.16832866822314324,0.013749042956139197,-0.0027259113819060967,-0.0035316546231003677
26,0.016041032554968727,-0.23928052654202564,0.23064024478843087,0.019698199814617647,-0.0019908600640294464,-0.00344404852258352
27,0.010718250300858585,-0.32459377725551797,0.2745126567485365,0.020538584037542287,-0.0014888536036126614,-0.0028021844262403795
28,-0.01452055116457622,-0.35274778374130766,0.29684975308440004,0.023037876004667206,0.0004949982605917367,0.0008738596877183883
29,-0.022147494282398112,-0.32116067327297365,0.2729516747253932,0.021064362668687185,0.001093233481926344,0.0016210279396843708
30,-0.029673827456709285,-0.2712994336861961,0.237199418366481,0.02024133040968134,0.001822610887338921,0.0023385761948544167
31,-0.03749613145261294,-0.2006386358709749,0.17693758607485952,0.018605105736303165,0.002357083561395792,0.003017951332105018
32,-0.04238292560092938,-0.10896070040879881,0.09974306433559894,0.016671413530064547,0.004135096701702925,0.004468319129876626
33,-0.04588713204388133,0.0,0.0,0.0,0.0,0.0
35,-0.04309768423958781,-0.816201662177889,0.07447510790693433,0.016742482765331516,-0.0033056173447065735,0.000633885065787173
36,-0.032225449091699575,-0.7791473373016591,0.1688049315696633,0.01921450362108098,-0.0030073584332194437,0.0013099578513884518
37,-0.022221438960436823,-0.7560273842593951,0.23008455284274915,0.01963860781092923,-0.0018533478810802337,0.0005851303651919659
38,-0.017960176620868008,-0.743357856005645,0.2745238115255172,0.020100376231723532,-0.0015276593508830073,0.00044115022984057096
39,-0.006640143045564629,-0.7362072640200207,0.2959346093009851,0.020763950910683487,0.00047009929150604887,0.00021586569201565984
40,-0.0027251639321600675,-0.7304935667774028,0.27292771674348415,0.02055591332695556,0.0010937570359509465,0.00014655283346982122
41,0.0017941493217027969,-0.7268283357134454,0.23678910630034403,0.01993834835372291,0.0017250793616649016,1.884530804158128e-05
42,0.005619414457450523,-0.7271732691819405,0.1772073888340341,0.018685778493392334,0.002670684464878957,-0.0002577520202809591
43,0.01041522725582533,-0.7357621397885518,0.09896000910763658,0.017192648806881792,0.0026619811805377583,-0.00023990436537355548
