element,type,node_i,node_j,length,axial_force
1,3d_frame,1,2,26.0,-343.6956742157828
2,3d_frame,2,3,26.0,-165.6150214235306
3,3d_frame,3,4,26.0,-73.79651223531187
4,3d_frame,4,5,26.0,29.882842283084983
5,3d_frame,5,6,26.0,0.0
6,3d_frame,6,7,26.0,107.08858882763039
7,3d_frame,7,8,26.0,150.54953001105537
8,3d_frame,8,9,26.0,167.713097479145
9,3d_frame,9,10,26.0,157.3236662615475
10,3d_frame,10,11,26.0,82.27151584834337
12,3d_frame,13,14,26.0,9.122016500186874
13,3d_frame,14,15,26.0,19.407795350742873
14,3d_frame,15,16,26.0,103.58494969236324
15,3d_frame,16,17,26.0,76.77034501621412
16,3d_frame,17,18,26.0,125.57642692978686
17,3d_frame,18,19,26.0,89.16219124054103
18,3d_frame,19,20,26.0,22.164899699636308
19,3d_frame,20,21,26.0,-23.89259615043462
21,3d_frame,23,24,26.0,251.78931182553572
22,3d_frame,24,25,26.0,72.54949044998796
23,3d_frame,25,26,26.0,-192.70292248937483
24,3d_frame,26,27,26.0,-294.8002479199464
25,3d_frame,27,28,26.0,-419.3523935795322
26,3d_frame,28,29,26.0,-422.4153111409047
27,3d_frame,29,30,26.0,-416.8430681156958
28,3d_frame,30,31,26.0,-433.23529823466424
29,3d_frame,31,32,26.0,-270.6532143682948
30,3d_frame,32,33,26.0,-194.07912607118533
32,3d_frame,35,36,26.0,150.53864050922175
33,3d_frame,36,37,26.0,138.51706335594582
34,3d_frame,37,38,26.0,196.67364644163774
35,3d_frame,38,39,26.0,156.73892642727753
36,3d_frame,39,40,26.0,180.69134369559512
37,3d_frame,40,41,26.0,208.58368863982452
38,3d_frame,41,42,26.0,176.55069857297198
39,3d_frame,42,43,26.0,221.3452060788373
41,3d_frame,1,23,15.5,0.0
42,3d_frame,2,24,15.5,20.896123274568367
43,3d_frame,3,25,15.5,19.996147673589803
44,3d_frame,4,26,15.5,19.75966911255273
45,3d_frame,5,27,15.5,-8.680732330038154
46,3d_frame,6,28,15.5,-6.693164533811796
47,3d_frame,7,29,15.5,21.599623397083633
48,3d_frame,8,30,15.5,19.391592539421254
49,3d_frame,9,31,15.5,13.743751332289321
50,3d_frame,10,32,15.5,8.222491248792721
51,3d_frame,11,33,15.5,0.0
53,3d_frame,13,35,15.5,-20.238015163607997
54,3d_frame,14,36,15.5,-41.0005857699507
55,3d_frame,15,37,15.5,-33.107504309300566
56,3d_frame,16,38,15.5,-44.59966812131461
57,3d_frame,17,39,15.5,-42.71296919195083
58,3d_frame,18,40,15.5,-23.496334445844695
59,3d_frame,19,41,15.5,-21.423750669702713
60,3d_frame,20,42,15.5,-17.160179395228624
61,3d_frame,21,43,15.5,-8.702381095543387
64,3d_frame,2,13,20.0,-1.043037161526314
65,3d_frame,3,14,20.0,-5.337873618710752
66,3d_frame,4,15,20.0,-1.8575808864972032
67,3d_frame,5,16,20.0,-0.8074040574638275
68,3d_frame,6,17,20.0,-11.804609024628803
69,3d_frame,7,18,20.0,0.5346076321509372
70,3d_frame,8,19,20.0,-6.9982436281172795
71,3d_frame,9,20,20.0,-10.059949158885047
72,3d_frame,10,21,20.0,8.558829924545762
75,3d_frame,24,35,20.0,-20.019800471083272
76,3d_frame,25,36,20.0,5.143644142416861
77,3d_frame,26,37,20.0,-20.004910044541248
78,3d_frame,27,38,20.0,0.40157197130611166
79,3d_frame,28,39,20.0,-9.883552860881537
