element,type,node_i,node_j,length,axial_force
80,3d_frame,29,40,20.0,-0.8624873487260629
81,3d_frame,30,41,20.0,-14.771234380930764
82,3d_frame,31,42,20.0,9.712899330285836
83,3d_frame,32,43,20.0,-28.189988206645012
85,3d_truss,1,13,32.802438933713454,16.776967289216806
86,3d_truss,13,3,32.802438933713454,-28.774791341256073
87,3d_truss,3,15,32.802438933713454,31.36589516643038
88,3d_truss,15,5,32.802438933713454,-41.033316618288
89,3d_truss,5,17,32.802438933713454,26.799844026755604
90,3d_truss,17,7,32.802438933713454,-3.796584243322765
91,3d_truss,7,19,32.802438933713454,-14.587018122423233
92,3d_truss,19,9,32.802438933713454,21.269409962893988
93,3d_truss,9,21,32.802438933713454,-3.539404717184796
94,3d_truss,21,11,32.802438933713454,-42.2010813248935
95,3d_truss,23,35,32.802438933713454,144.0187681430758
96,3d_truss,35,25,32.802438933713454,-97.19379774669345
97,3d_truss,25,37,32.802438933713454,58.4838745095779
98,3d_truss,37,27,32.802438933713454,-12.541511222367987
99,3d_truss,27,39,32.802438933713454,-8.930533366517732
100,3d_truss,39,29,32.802438933713454,22.041240640102178
101,3d_truss,29,41,32.802438933713454,-39.33348198292858
102,3d_truss,41,31,32.802438933713454,68.4971225265264
103,3d_truss,31,43,32.802438933713454,-122.50893069565672
104,3d_truss,43,33,32.802438933713454,201.15456593991692
105,3d_truss,1,24,30.26962173533062,-136.3054614236972
106,3d_truss,23,2,30.26962173533062,94.92433322092742
107,3d_truss,2,25,30.26962173533062,-111.98021805465741
108,3d_truss,24,3,30.26962173533062,71.64368250995432
109,3d_truss,3,26,30.26962173533062,-89.94559456530199
110,3d_truss,25,4,30.26962173533062,52.24058879004448
111,3d_truss,4,27,30.26962173533062,-67.81408916012785
112,3d_truss,26,5,30.26962173533062,28.00244878552132
113,3d_truss,5,28,30.26962173533062,0.49050230035449427
114,3d_truss,27,6,30.26962173533062,73.32387404925284
115,3d_truss,6,29,30.26962173533062,-51.01733587709143
116,3d_truss,28,7,30.26962173533062,3.7710991397286446
117,3d_truss,7,30,30.26962173533062,-36.48873758683048
118,3d_truss,29,8,30.26962173533062,-1.083391179795346
119,3d_truss,8,31,30.26962173533062,-20.842562815473947
120,3d_truss,30,9,30.26962173533062,-17.2547218964321
121,3d_truss,9,32,30.26962173533062,17.977706556091295
122,3d_truss,31,10,30.26962173533062,-33.59723585350012
123,3d_truss,10,33,30.26962173533062,51.22311398881098
124,3d_truss,32,11,30.26962173533062,-67.73488393580004
127,3d_truss,13,36,30.26962173533062,32.324226642092874
128,3d_truss,35,14,30.26962173533062,46.723196241770665
129,3d_truss,14,37,30.26962173533062,34.680976074302585
130,3d_truss,36,15,30.26962173533062,46.516229195211245
131,3d_truss,15,38,30.26962173533062,15.686407404238858
132,3d_truss,37,16,30.26962173533062,32.41853101484264
133,3d_truss,16,39,30.26962173533062,63.862432554644734
134,3d_truss,38,17,30.26962173533062,62.19522393707352
135,3d_truss,17,40,30.26962173533062,33.541423335712246
136,3d_truss,39,18,30.26962173533062,7.415483783665695
137,3d_truss,18,41,30.26962173533062,49.588580513249035
138,3d_truss,40,19,30.26962173533062,1.123288483195898
139,3d_truss,19,42,30.26962173533062,45.54953849781041
140,3d_truss,41,20,30.26962173533062,-12.510196496446303
141,3d_truss,20,43,30.26962173533062,40.8488495245337
142,3d_truss,42,21,30.26962173533062,-6.851151274596877
