node,ux,uy,uz,rx,ry,rz
1,0.0,0.0,0.0,0.0,0.0,0.0
2,-0.007026758367864906,-0.03365413824979024,0.012031578821047013,0.010001961442891668,-0.0003978829029117907,-0.0014107029003424412
3,-0.010844030710242343,-0.07559808354534338,0.014701302358259045,0.011311679214004014,-8.36430573230485e-05,-0.0014781161480353995
4,-0.012432121625221419,-0.11588642499677779,0.019405739676633876,0.012021693009896478,-0.00014939077327080427,-0.0012990293941262344
5,-0.012410247671455106,-0.14705652539015138,0.021802738429224658,0.012435480250546244,2.7665457930014082e-05,-0.0008955026994059178
6,-0.011530698014122301,-0.16508614726873247,0.01918443915641176,0.01274802924836739,8.062063632161798e-05,-0.00035130489842366726
7,-0.009955652049106853,-0.1670572661318924,0.017200488606180724,0.012490912815396034,0.00020064261733516653,0.00027901788813365
8,-0.007649407918678633,-0.15126565868064829,0.00855974465246121,0.012311116207671308,0.0002386334329458379,0.0009663445054078053
9,-0.005439477125683325,-0.11694207907446334,0.00413990055652016,0.011417163156889195,0.00017764626360361295,0.001570307930430726
10,-0.003204811385906948,-0.06523331046011027,-0.0013879363586609236,0.010387537950923493,4.413755928235117e-05,0.0025832407967059543
11,-0.0023663086002214443,0.0,0.0,0.0,0.0,0.0
13,-0.012577943517731146,-0.4611519851957621,0.012196938749273837,0.010286992177442937,-0.0001279529190869779,0.0005978610783851037
14,-0.013078642109218273,-0.4425719937401659,0.014451083589096893,0.011342906552181127,-0.00013993964659458604,0.0006296192873031329
15,-0.012856939465822548,-0.43244454650247516,0.01927007635136155,0.011795824470954881,-0.0001294357927118189,0.0003095400791128972
16,-0.011524260318783109,-0.4282910995438115,0.021745001728535805,0.012087264550950525,2.777669948433168e-05,0.00010455331250545038
17,-0.009608211629972323,-0.4282289049414094,0.01891315962423482,0.012310054508055833,8.334383786272078e-05,-2.8190464922320202e-05
18,-0.0074763620577309176,-0.4304034788017618,0.017174292417397593,0.0120763077670021,0.00019118197250515975,-0.00012619027060210692
19,-0.0053980387075993775,-0.43467876521522975,0.008341447231575922,0.011964521534464215,0.00023838604630313525,-0.00022563440278684324
20,-0.004435421358128763,-0.44165596297577125,0.003964536529236505,0.011293263939478574,0.00014393788291695552,-0.00042158424867213754
21,-0.003934317683458271,-0.4532814988906973,-0.0013396258196674339,0.010529350466816169,0.00011756254960247965,-0.000257096149736308
23,0.0,0.0,0.0,0.0,0.0,0.0
24,0.0050094973456586735,-0.0335214987365206,0.061958588433422966,0.01001108399301054,-0.002763728123355455,-0.001406021981865346
25,0.006782097816856641,-0.07537631599956506,0.12268597424096135,0.011328459310808208,-0.0018486696308558398,-0.0014752247966597265
26,0.0035815443415334646,-0.11557396777802914,0.16673635170019419,0.012043739112227055,-0.00135356390898425,-0.0012969872199956175
27,-0.0012423562890435287,-0.1467151862080526,0.19482334929778214,0.012460947919458048,-0.0007777208576139805,-0.0008945024841751159
28,-0.007837649573833169,-0.16471394501852776,0.20778424043994148,0.012774416947614683,-8.062063632157357e-05,-0.00035130489842366775
29,-0.015128439166305439,-0.16671592694979365,0.19942559912082344,0.012516380484307843,0.0005494127823488665,0.00027801767290284264
30,-0.022236709973544145,-0.15095320146189978,0.1775823467243631,0.012333162310001878,0.0012643212493092448,0.0009643023312771907
31,-0.02923528515684151,-0.116720311528685,0.13324737604269604,0.011433943253693388,0.0017546664245752573,0.0015674165790550564
32,-0.03351462276779721,-0.06510067094684067,0.07537810361312851,0.010396660501042385,0.0031174734669847967,0.0025785598782288536
33,-0.03637038657568882,0.0,0.0,0.0,0.0,0.0
35,-0.02826658033168784,-0.4613124160172503,0.06124713901057306,0.01029697770110822,-0.001985470915830577,0.0005931672641770238
36,-0.023491942609960605,-0.44288829223281617,0.12292682908928863,0.011361129791617674,-0.001993353608896094,0.000625678531151001
37,-0.019412413954358887,-0.43283879254335156,0.16626618652460032,0.011819764639559782,-0.0012979900912126158,0.0003069205065386966
38,-0.014299261358231046,-0.4287662058570858,0.1948772734895256,0.012114920559985658,-0.0007791166820760019,0.0001032431812417426
39,-0.009760135957982707,-0.42870251768960105,0.20744656406054646,0.012338708934839569,-8.334383786267502e-05,-2.8190464922312318e-05
40,-0.005436811441165183,-0.4308785851150358,0.1994479828006612,0.012103963776037225,0.0005601580100865729,-0.0001248801393384362
41,-0.0010693030481296517,-0.43507301125610653,0.1771948156443822,0.011988461703069051,0.0011890398376213284,-0.00022301483021263172
42,0.002269310901396858,-0.4419722614684212,0.1334133761491448,0.01131148717891511,0.0019893553725736997,-0.00041764349252001917
43,0.00604214635696619,-0.4534419297121858,0.07478370357951197,0.01053933599048143,0.0019958612853150175,-0.0002524023355282058
