Structure,,,,,,,,Case 1,,,,,,,Difference,,,,,
element,type,node_i,node_j,length,axial_force,,,element,type,node_i,node_j,length,axial_force,,element,type,node_i,node_j,length,axial_force
53,3d_frame,13,35,15.5,-8.694315487,,,53,3d_frame,13,35,15.5,129.715141,,53,3d_frame,13,35,15.5,-138.4094564
54,3d_frame,14,36,15.5,-17.14133767,,,54,3d_frame,14,36,15.5,92.29443713,,54,3d_frame,14,36,15.5,-109.4357748
55,3d_frame,15,37,15.5,-21.36559189,,,55,3d_frame,15,37,15.5,88.6406367,,55,3d_frame,15,37,15.5,-110.0062286
56,3d_frame,16,38,15.5,-25.74769698,,,56,3d_frame,16,38,15.5,84.2526395,,56,3d_frame,16,38,15.5,-110.0003365
57,3d_frame,17,39,15.5,-25.66675539,,,57,3d_frame,17,39,15.5,84.33282562,,57,3d_frame,17,39,15.5,-109.999581
58,3d_frame,18,40,15.5,-25.74769698,,,58,3d_frame,18,40,15.5,84.2526395,,58,3d_frame,18,40,15.5,-110.0003365
59,3d_frame,19,41,15.5,-21.36559189,,,59,3d_frame,19,41,15.5,88.6406367,,59,3d_frame,19,41,15.5,-110.0062286
60,3d_frame,20,42,15.5,-17.14133767,,,60,3d_frame,20,42,15.5,92.29443713,,60,3d_frame,20,42,15.5,-109.4357748
61,3d_frame,21,43,15.5,-8.694315487,,,61,3d_frame,21,43,15.5,129.715141,,61,3d_frame,21,43,15.5,-138.4094564
64,3d_frame,2,13,20,5.952957416,,,64,3d_frame,2,13,20,148.17781,,64,3d_frame,2,13,20,-142.2248526
65,3d_frame,3,14,20,-9.00787569,,,65,3d_frame,3,14,20,134.1370112,,65,3d_frame,3,14,20,-143.1448869
66,3d_frame,4,15,20,-4.88387971,,,66,3d_frame,4,15,20,137.5679956,,66,3d_frame,4,15,20,-142.4518753
67,3d_frame,5,16,20,-2.078521225,,,67,3d_frame,5,16,20,140.7937203,,67,3d_frame,5,16,20,-142.8722415
68,3d_frame,6,17,20,-9.766063158,,,68,3d_frame,6,17,20,132.710771,,68,3d_frame,6,17,20,-142.4768341
69,3d_frame,7,18,20,-0.943062796,,,69,3d_frame,7,18,20,141.9291787,,69,3d_frame,7,18,20,-142.8722415
70,3d_frame,8,19,20,-7.858707152,,,70,3d_frame,8,19,20,134.5931681,,70,3d_frame,8,19,20,-142.4518753
71,3d_frame,9,20,20,-6.313104982,,,71,3d_frame,9,20,20,136.831782,,71,3d_frame,9,20,20,-143.1448869
72,3d_frame,10,21,20,1.739179404,,,72,3d_frame,10,21,20,143.964032,,72,3d_frame,10,21,20,-142.2248526
75,3d_frame,24,35,20,-25.61217922,,,75,3d_frame,24,35,20,116.6126733,,75,3d_frame,24,35,20,-142.2248526
76,3d_frame,25,36,20,8.67077454,,,76,3d_frame,25,36,20,151.8156615,,76,3d_frame,25,36,20,-143.1448869
77,3d_frame,26,37,20,-16.92594632,,,77,3d_frame,26,37,20,125.525929,,77,3d_frame,26,37,20,-142.4518753
78,3d_frame,27,38,20,1.941270903,,,78,3d_frame,27,38,20,144.8135124,,78,3d_frame,27,38,20,-142.8722415
79,3d_frame,28,39,20,-12.15634966,,,79,3d_frame,28,39,20,130.3204845,,79,3d_frame,28,39,20,-142.4768341
80,3d_frame,29,40,20,0.805812474,,,80,3d_frame,29,40,20,143.678054,,80,3d_frame,29,40,20,-142.8722415
81,3d_frame,30,41,20,-13.95111888,,,81,3d_frame,30,41,20,128.5007564,,81,3d_frame,30,41,20,-142.4518753
82,3d_frame,31,42,20,5.976003832,,,82,3d_frame,31,42,20,149.1208908,,82,3d_frame,31,42,20,-143.1448869
83,3d_frame,32,43,20,-21.39840121,,,83,3d_frame,32,43,20,120.8264514,,83,3d_frame,32,43,20,-142.2248526
85,3d_truss,1,13,32.80243893,-32.4320239,,,85,3d_truss,1,13,32.80243893,-30.88751299,,85,3d_truss,1,13,32.80243893,-1.544510914
86,3d_truss,13,3,32.80243893,-1.953834998,,,86,3d_truss,13,3,32.80243893,-0.04038714,,86,3d_truss,13,3,32.80243893,-1.913447858
87,3d_truss,3,15,32.80243893,15.23860403,,,87,3d_truss,3,15,32.80243893,17.37755439,,87,3d_truss,3,15,32.80243893,-2.138950363
88,3d_truss,15,5,32.80243893,-15.23837087,,,88,3d_truss,15,5,32.80243893,-13.06356484,,88,3d_truss,15,5,32.80243893,-2.174806032
89,3d_truss,5,17,32.80243893,5.878969899,,,89,3d_truss,5,17,32.80243893,8.05906638,,89,3d_truss,5,17,32.80243893,-2.180096481
90,3d_truss,17,7,32.80243893,9.844225999,,,90,3d_truss,17,7,32.80243893,12.02432248,,90,3d_truss,17,7,32.80243893,-2.180096481
