Structure,,,,,,,,,Case 1,,,,,,,,,Difference,,,,,,
node,Fx,Fy,Fz,Mx,My,Mz,,,node,Fx,Fy,Fz,Mx,My,Mz,,,node,Fx,Fy,Fz,Mx,My,Mz
1,524.3767762,68.23030639,12.82458157,-0.865554356,35.48021393,26.70821709,,,1,524.3767762,228.0052533,12.82458157,-0.866266458,21.83697798,27.38554635,,,1,0,-159.7749469,9.00613E-13,0.000712102,13.64323595,-0.677329254
11,0,37.42331695,-9.697519039,-0.898921553,-26.65810744,-85.71960544,,,11,0,197.1982638,-9.697519039,-0.899633656,-13.01487149,-86.39693469,,,11,0,-159.7749469,1.44951E-12,0.000712102,-13.64323595,0.677329254
23,-524.3767762,59.77668305,-124.8245816,-0.866343807,60.55071422,26.62976559,,,23,-524.3767762,-99.99826384,-124.8245816,-0.865631705,46.90747827,25.95243634,,,23,-3.97904E-12,159.7749469,9.9476E-13,-0.000712102,13.64323595,0.677329254
33,0,28.96969361,-102.302481,-0.899711005,-69.37282071,-85.64115394,,,33,0,-130.8052533,-102.302481,-0.898998903,-55.72958476,-84.96382468,,,33,0,159.7749469,0,-0.000712102,-13.64323595,-0.677329254
