Structure,,,,,,,,,Case 1,,,,,,,,,Difference (in ft),,,,,,
node,ux,uy,uz,rx,ry,rz,,,node,ux,uy,uz,rx,ry,rz,,,node,ux,uy,uz,rx,ry,rz
20,-0.004435421,-0.441655963,0.003964537,0.011293264,0.000143938,-0.000421584,,,20,0.045603937,-0.442665638,-0.005613989,0.011293868,-0.000145268,-0.000426116,,,20,-0.050039358,0.001009675,0.009578525,-6.04122E-07,0.000289206,4.53206E-06
21,-0.003934318,-0.453281499,-0.001339626,0.01052935,0.000117563,-0.000257096,,,21,0.051527691,-0.454558491,-0.016689416,0.010538371,0.000329304,-0.000265854,,,21,-0.055462009,0.001276992,0.01534979,-9.02029E-06,-0.000211742,8.75767E-06
23,0,0,0,0,0,0,,,23,0,0,0,0,0,0,,,23,0,0,0,0,0,0
24,0.005009497,-0.033521499,0.061958588,0.010011084,-0.002763728,-0.001406022,,,24,0.011810037,-0.032511286,0.042658108,0.010002855,-0.002384271,-0.001381181,,,24,-0.00680054,-0.001010213,0.01930048,8.22874E-06,-0.000379457,-2.48414E-05
25,0.006782098,-0.075376316,0.122685974,0.011328459,-0.00184867,-0.001475225,,,25,0.020311141,-0.074383365,0.109131202,0.011327897,-0.001691967,-0.001481024,,,25,-0.013529043,-0.000992951,0.013554772,5.62188E-07,-0.000156703,5.79958E-06
26,0.003581544,-0.115573968,0.166736352,0.012043739,-0.001353564,-0.001296987,,,26,0.023837948,-0.114580828,0.137412822,0.012043059,-0.001215325,-0.00129573,,,26,-0.020256404,-0.00099314,0.02932353,6.79701E-07,-0.000138239,-1.25752E-06
27,-0.001242356,-0.146715186,0.194823349,0.012460948,-0.000777721,-0.000894502,,,27,0.025741305,-0.145722,0.174583487,0.012460271,-0.000715847,-0.000894761,,,27,-0.026983661,-0.000993187,0.020239863,6.77174E-07,-6.18742E-05,2.58993E-07
28,-0.00783765,-0.164713945,0.20778424,0.012774417,-8.06E-05,-0.000351305,,,28,0.025873214,-0.163720769,0.175120585,0.01277374,-8.06E-05,-0.000351305,,,28,-0.033710864,-0.000993176,0.032663656,6.77285E-07,6.50521E-18,4.98733E-18
29,-0.015128439,-0.166715927,0.199425599,0.01251638,0.000549413,0.000278018,,,29,0.025309627,-0.16572274,0.179185737,0.012515703,0.000487539,0.000278277,,,29,-0.040438066,-0.000993187,0.020239863,6.77174E-07,6.18742E-05,-2.58993E-07
30,-0.02223671,-0.150953201,0.177582347,0.012333162,0.001264321,0.000964302,,,30,0.024928614,-0.149960062,0.148258817,0.012332483,0.001126083,0.000963045,,,30,-0.047165324,-0.00099314,0.02932353,6.79701E-07,0.000138239,1.25752E-06
31,-0.029235285,-0.116720312,0.133247376,0.011433943,0.001754666,0.001567417,,,31,0.0246574,-0.11572736,0.119692604,0.011433381,0.001597964,0.001573216,,,31,-0.053892685,-0.000992951,0.013554772,5.62188E-07,0.000156703,-5.79958E-06
32,-0.033514623,-0.065100671,0.075378104,0.010396661,0.003117473,0.00257856,,,32,0.027106565,-0.064090458,0.056077623,0.010388432,0.002738016,0.002553718,,,32,-0.060621188,-0.001010213,0.01930048,8.22874E-06,0.000379457,2.48414E-05
33,-0.036370387,0,0,0,0,0,,,33,0.031051341,0,0,0,0,0,,,33,-0.067421728,0,0,0,0,0
35,-0.02826658,-0.461312416,0.061247139,0.010296978,-0.001985471,0.000593167,,,35,-0.016306861,-0.460035424,0.045897349,0.010287957,-0.002197213,0.00058441,,,35,-0.011959719,-0.001276992,0.01534979,9.02029E-06,0.000211742,8.75767E-06
36,-0.023491943,-0.442888292,0.122926829,0.01136113,-0.001993354,0.000625679,,,36,-0.006109573,-0.441878617,0.113348304,0.011360526,-0.001704147,0.000621146,,,36,-0.01738237,-0.001009675,0.009578525,6.04122E-07,-0.000289206,4.53206E-06
37,-0.019412414,-0.432838793,0.166266187,0.011819765,-0.00129799,0.000306921,,,37,0.00341336,-0.431823854,0.140899653,0.011819027,-0.00118942,0.000307995,,,37,-0.022825774,-0.001014938,0.025366534,7.38103E-07,-0.00010857,-1.07496E-06
38,-0.014299261,-0.428766206,0.194877273,0.012114921,-0.000779117,0.000103243,,,38,0.013969064,-0.427751322,0.178606084,0.012114185,-0.000710855,0.000103026,,,38,-0.028268325,-0.001014884,0.016271189,7.35299E-07,-6.82614E-05,2.174E-07
39,-0.009760136,-0.428702518,0.207446564,0.012338709,-8.33E-05,-2.82E-05,,,39,0.023950728,-0.427687641,0.178740598,0.012337974,-8.33E-05,-2.82E-05,,,39,-0.033710864,-0.001014877,0.028705966,7.35421E-07,5.29904E-18,2.31985E-17
40,-0.005436811,-0.430878585,0.199447983,0.012103964,0.000560158,-0.00012488,,,40,0.033716591,-0.429863701,0.183176794,0.012103228,0.000491897,-0.000124663,,,40,-0.039153403,-0.001014884,0.016271189,7.35299E-07,6.82614E-05,-2.174E-07
41,-0.001069303,-0.435073011,0.177194816,0.011988462,0.00118904,-0.000223015,,,41,0.04352665,-0.434058073,0.151828282,0.011987724,0.00108047,-0.00022409,,,41,-0.044595953,-0.001014938,0.025366534,7.38103E-07,0.00010857,1.07496E-06
42,0.002269311,-0.441972261,0.133413376,0.011311487,0.001989355,-0.000417643,,,42,0.052308669,-0.440962586,0.123834851,0.011310883,0.001700149,-0.000413111,,,42,-0.050039358,-0.001009675,0.009578525,6.04122E-07,0.000289206,-4.53206E-06
43,0.006042146,-0.45344193,0.074783704,0.010539336,0.001995861,-0.000252402,,,43,0.061504155,-0.452164938,0.059433913,0.010530316,0.002207603,-0.000243645,,,43,-0.055462009,-0.001276992,0.01534979,9.02029E-06,-0.000211742,-8.75767E-06
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
