Structure,,,,,,,,,Case 1,,,,,,,,,Difference (in ft),,,,,,
node,ux,uy,uz,rx,ry,rz,,,node,ux,uy,uz,rx,ry,rz,,,node,ux,uy,uz,rx,ry,rz
1,0,0,0,0,0,0,,,1,0,0,0,0,0,0,,,1,0,0,0,0,0,0
2,-0.007026758,-0.033654138,0.012031579,0.010001961,-0.000397883,-0.001410703,,,2,-0.000226218,-0.034664351,-0.007268902,0.01001019,-1.84E-05,-0.001435544,,,2,-0.00680054,0.001010213,0.01930048,-8.22874E-06,-0.000379457,2.48414E-05
3,-0.010844031,-0.075598084,0.014701302,0.011311679,-8.36E-05,-0.001478116,,,3,0.002685012,-0.076591035,0.00114653,0.011312241,7.31E-05,-0.001472317,,,3,-0.013529043,0.000992951,0.013554772,-5.62188E-07,-0.000156703,-5.79958E-06
4,-0.012432122,-0.115886425,0.01940574,0.012021693,-0.000149391,-0.001299029,,,4,0.007824282,-0.116879565,-0.00991779,0.012022373,-1.12E-05,-0.001300287,,,4,-0.020256404,0.00099314,0.02932353,-6.79701E-07,-0.000138239,1.25752E-06
5,-0.012410248,-0.147056525,0.021802738,0.01243548,2.77E-05,-0.000895503,,,5,0.014573414,-0.148049712,0.001562876,0.012436157,8.95E-05,-0.000895244,,,5,-0.026983661,0.000993187,0.020239863,-6.77174E-07,-6.18742E-05,-2.58993E-07
6,-0.011530698,-0.165086147,0.019184439,0.012748029,8.06E-05,-0.000351305,,,6,0.022180166,-0.166079323,-0.013479216,0.012748707,8.06E-05,-0.000351305,,,6,-0.033710864,0.000993176,0.032663656,-6.77285E-07,2.99511E-18,4.98733E-18
7,-0.009955652,-0.167057266,0.017200489,0.012490913,0.000200643,0.000279018,,,7,0.030482414,-0.168050453,-0.003039374,0.01249159,0.000138768,0.000278759,,,7,-0.040438066,0.000993187,0.020239863,-6.77174E-07,6.18742E-05,2.58993E-07
8,-0.007649408,-0.151265659,0.008559745,0.012311116,0.000238633,0.000966345,,,8,0.039515916,-0.152258799,-0.020763785,0.012311796,0.000100395,0.000967602,,,8,-0.047165324,0.00099314,0.02932353,-6.79701E-07,0.000138239,-1.25752E-06
9,-0.005439477,-0.116942079,0.004139901,0.011417163,0.000177646,0.001570308,,,9,0.048453208,-0.11793503,-0.009414872,0.011417725,2.09E-05,0.001564508,,,9,-0.053892685,0.000992951,0.013554772,-5.62188E-07,0.000156703,5.79958E-06
10,-0.003204811,-0.06523331,-0.001387936,0.010387538,4.41E-05,0.002583241,,,10,0.057416376,-0.066243524,-0.020688417,0.010395767,-0.000335319,0.002608082,,,10,-0.060621188,0.001010213,0.01930048,-8.22874E-06,0.000379457,-2.48414E-05
11,-0.002366309,0,0,0,0,0,,,11,0.065055419,0,0,0,0,0,,,11,-0.067421728,0,0,0,0,0
13,-0.012577944,-0.461151985,0.012196939,0.010286992,-0.000127953,0.000597861,,,13,-0.000618225,-0.462428977,-0.003152851,0.010296012,-0.000339695,0.000606619,,,13,-0.011959719,0.001276992,0.01534979,-9.02029E-06,0.000211742,-8.75767E-06
14,-0.013078642,-0.442571994,0.014451084,0.011342907,-0.00013994,0.000629619,,,14,0.004303728,-0.443581669,0.004872558,0.011343511,0.000149266,0.000634151,,,14,-0.01738237,0.001009675,0.009578525,-6.04122E-07,-0.000289206,-4.53206E-06
15,-0.012856939,-0.432444547,0.019270076,0.011795824,-0.000129436,0.00030954,,,15,0.009968835,-0.433459485,-0.006096457,0.011796563,-2.09E-05,0.000308465,,,15,-0.022825774,0.001014938,0.025366534,-7.38103E-07,-0.00010857,1.07496E-06
16,-0.01152426,-0.4282911,0.021745002,0.012087265,2.78E-05,0.000104553,,,16,0.016744065,-0.429305984,0.005473812,0.012088,9.60E-05,0.000104771,,,16,-0.028268325,0.001014884,0.016271189,-7.35299E-07,-6.82614E-05,-2.174E-07
17,-0.009608212,-0.428228905,0.01891316,0.012310055,8.33E-05,-2.82E-05,,,17,0.024102652,-0.429243782,-0.009792806,0.01231079,8.33E-05,-2.82E-05,,,17,-0.033710864,0.001014877,0.028705966,-7.35421E-07,2.90024E-18,2.22024E-17
18,-0.007476362,-0.430403479,0.017174292,0.012076308,0.000191182,-0.00012619,,,18,0.031677041,-0.431418363,0.000903103,0.012077043,0.000122921,-0.000126408,,,18,-0.039153403,0.001014884,0.016271189,-7.35299E-07,6.82614E-05,2.174E-07
19,-0.005398039,-0.434678765,0.008341447,0.011964522,0.000238386,-0.000225634,,,19,0.039197915,-0.435693704,-0.017025086,0.01196526,0.000129816,-0.000224559,,,19,-0.044595953,0.001014938,0.025366534,-7.38103E-07,0.00010857,-1.07496E-06
