Structure,,,,,,,,Case 1,,,,,,,Difference,,,,,
element,type,node_i,node_j,length,axial_force,,,element,type,node_i,node_j,length,axial_force,,element,type,node_i,node_j,length,axial_force
49,3d_frame,9,31,15.5,-12.45092689,,,49,3d_frame,9,31,15.5,110.5626031,,49,3d_frame,9,31,15.5,123.01353
50,3d_frame,10,32,15.5,-7.425601822,,,50,3d_frame,10,32,15.5,117.7428394,,50,3d_frame,10,32,15.5,125.1684412
51,3d_frame,11,33,15.5,0,,,51,3d_frame,11,33,15.5,0,,51,3d_frame,11,33,15.5,0
52,3d_frame,12,34,15.5,-0.175660518,,,52,3d_frame,12,34,15.5,138.1989358,,52,3d_frame,12,34,15.5,138.3745963
53,3d_frame,13,35,15.5,7.712112976,,,53,3d_frame,13,35,15.5,117.1467573,,53,3d_frame,13,35,15.5,109.4346443
54,3d_frame,14,36,15.5,15.55018419,,,54,3d_frame,14,36,15.5,125.5525515,,54,3d_frame,14,36,15.5,110.0023673
55,3d_frame,15,37,15.5,19.3857719,,,55,3d_frame,15,37,15.5,129.3804409,,55,3d_frame,15,37,15.5,109.994669
56,3d_frame,16,38,15.5,23.36908166,,,56,3d_frame,16,38,15.5,133.3630677,,56,3d_frame,16,38,15.5,109.993986
57,3d_frame,17,39,15.5,23.29547534,,,57,3d_frame,17,39,15.5,133.2896698,,57,3d_frame,17,39,15.5,109.9941945
58,3d_frame,18,40,15.5,23.36908166,,,58,3d_frame,18,40,15.5,133.3630677,,58,3d_frame,18,40,15.5,109.993986
59,3d_frame,19,41,15.5,19.3857719,,,59,3d_frame,19,41,15.5,129.3804409,,59,3d_frame,19,41,15.5,109.994669
60,3d_frame,20,42,15.5,15.55018419,,,60,3d_frame,20,42,15.5,125.5525515,,60,3d_frame,20,42,15.5,110.0023673
61,3d_frame,21,43,15.5,7.712112976,,,61,3d_frame,21,43,15.5,117.1467573,,61,3d_frame,21,43,15.5,109.4346443
62,3d_frame,22,44,15.5,-0.175660518,,,62,3d_frame,22,44,15.5,138.1989358,,62,3d_frame,22,44,15.5,138.3745963
63,3d_frame,1,12,20,-0.068631694,,,63,3d_frame,1,12,20,143.6059312,,63,3d_frame,1,12,20,143.6745628
64,3d_frame,2,13,20,8.935410069,,,64,3d_frame,2,13,20,151.1541199,,64,3d_frame,2,13,20,142.2187098
65,3d_frame,3,14,20,0.088262829,,,65,3d_frame,3,14,20,143.011983,,65,3d_frame,3,14,20,142.9237202
66,3d_frame,4,15,20,9.917584694,,,66,3d_frame,4,15,20,152.3829145,,66,3d_frame,4,15,20,142.4653298
67,3d_frame,5,16,20,0.05959514,,,67,3d_frame,5,16,20,142.9224689,,67,3d_frame,5,16,20,142.8628737
68,3d_frame,6,17,20,9.965359268,,,68,3d_frame,6,17,20,152.4444801,,68,3d_frame,6,17,20,142.4791209
69,3d_frame,7,18,20,0.05959514,,,69,3d_frame,7,18,20,142.9224689,,69,3d_frame,7,18,20,142.8628737
70,3d_frame,8,19,20,9.917584694,,,70,3d_frame,8,19,20,152.3829145,,70,3d_frame,8,19,20,142.4653298
71,3d_frame,9,20,20,0.088262829,,,71,3d_frame,9,20,20,143.011983,,71,3d_frame,9,20,20,142.9237202
72,3d_frame,10,21,20,8.935410069,,,72,3d_frame,10,21,20,151.1541199,,72,3d_frame,10,21,20,142.2187098
73,3d_frame,11,22,20,-0.068631694,,,73,3d_frame,11,22,20,143.6059312,,73,3d_frame,11,22,20,143.6745628
74,3d_frame,23,34,20,-0.068631694,,,74,3d_frame,23,34,20,143.6059312,,74,3d_frame,23,34,20,143.6745628
75,3d_frame,24,35,20,8.935410069,,,75,3d_frame,24,35,20,151.1541199,,75,3d_frame,24,35,20,142.2187098
