Structure,,,,,,,,,Case 1,,,,,,,,,Difference,,,,,,
node,Fx,Fy,Fz,Mx,My,Mz,,,node,Fx,Fy,Fz,Mx,My,Mz,,,node,Fx,Fy,Fz,Mx,My,Mz
1,-1.17E-12,-3.81913169,45,0.000363915,-23.09077568,-0.03535383,,,1,2.33E-12,156.0204625,45,-0.493469933,-37.50820179,0.641811441,,,1,0.00,-159.84,0.00,0.49,14.42,-0.68
11,0,-3.81913169,45,0.000363915,23.09077568,0.03535383,,,11,0,156.0204625,45,-0.493469933,37.50820179,-0.641811441,,,11,0.00,-159.84,0.00,0.49,-14.42,0.68
23,4.04E-12,3.81913169,45,-0.000363915,-23.09077568,0.03535383,,,23,1.08E-11,-156.0204625,45,0.493469933,-37.50820179,-0.641811441,,,23,0.00,159.84,0.00,-0.49,14.42,0.68
33,0,3.81913169,45,-0.000363915,23.09077568,-0.03535383,,,33,0,-156.0204625,45,0.493469933,37.50820179,0.641811441,,,33,0.00,159.84,0.00,-0.49,-14.42,-0.68
