element,type,node_i,node_j,length,axial_force
1,3d_frame,1,2,5.0,13.600501105464252
2,3d_frame,2,3,8.0,-0.6562178929716538
3,3d_frame,3,4,5.0,19.897257260885684
4,3d_frame,5,6,5.0,13.600501105464252
5,3d_frame,6,7,8.0,-0.6562178929689253
6,3d_frame,7,8,5.0,19.89725726088569
7,3d_frame,1,5,5.0,0.0
8,3d_frame,2,6,5.0,-2.2420485740825487
9,3d_frame,3,7,5.0,-3.4497461310513597
10,3d_frame,4,8,5.0,0.0
11,3d_truss,1,6,7.0710678118654755,3.743843045526897
12,3d_truss,2,5,7.0710678118654755,3.743843045526888
13,3d_truss,4,7,7.0710678118654755,5.451715258608005
14,3d_truss,3,8,7.0710678118654755,5.451715258607997
15,3d_truss,2,7,9.433981132056603,-0.762777835713423
16,3d_truss,3,6,9.433981132056603,-0.7627778357151496
