node,ux,uy,uz,rx,ry,rz
1,0.0,0.0,0.0,0.0,0.0,0.0
2,-0.05565821753721117,5.605121435206446e-06,6.800250552732126e-05,-1.1213686355419804e-06,-0.015697607635729752,2.4531058846803047e-07
3,-0.05566346728035494,8.624365327628457e-06,9.948628630442842e-05,-1.293267407081043e-06,0.005683864452280599,2.453243321233258e-07
4,0.0,0.0,0.0,-1.2937839298319302e-06,-0.021494097410246774,2.3364222100181564e-09
5,0.0,0.0,0.0,0.0,0.0,0.0
6,-0.05565821753721116,-5.605121435206297e-06,6.800250552732126e-05,1.121368635541847e-06,-0.01569760763572975,-2.453105884659073e-07
7,-0.055663467280354914,-8.624365327628342e-06,9.948628630442845e-05,1.2932674070810998e-06,0.005683864452280598,-2.4532433212879546e-07
8,0.0,0.0,0.0,1.293783929831964e-06,-0.021494097410246764,-2.336422210036392e-09
