node,ux,uy,uz,rx,ry,rz
1,0.0,0.0,0.0,0.0,0.0,0.0
2,-0.0012966510784221642,0.00014581218626632942,0.0023872517493451605,-0.003325023498787435,-0.020065965400147323,-5.28795264102057e-05
3,-0.000648325539211082,-2.6515783827873988e-05,-0.046437251108316056,0.023261824701837668,0.011127050387561779,-2.575549096009356e-05
4,0.0,0.0,0.0,0.04984867290246277,-0.022651797338090914,4.654235055083292e-05
5,0.0,0.0,0.0,0.0,0.0,0.0
6,-0.0012966510784221653,-0.00014581218626633156,0.0023872517493451623,0.0033250234987874353,-0.020065965400147323,5.287952641020609e-05
7,-0.0006483255392110824,2.6515783827872907e-05,-0.04643725110831605,-0.02326182470183765,0.011127050387561774,2.575549096009383e-05
8,0.0,0.0,0.0,-0.04984867290246274,-0.0226517973380909,-4.654235055083267e-05
