element,type,node_i,node_j,length,axial_force
1,3d_frame,1,2,10.0,226.31146583792122
2,3d_frame,2,3,4.0,153.6531527930265
3,3d_frame,3,4,4.0,153.65315279302644
4,3d_frame,5,6,10.0,226.3114658379214
5,3d_frame,6,7,4.0,153.65315279302663
6,3d_frame,7,8,4.0,153.65315279302652
7,3d_frame,1,5,5.0,0.0
8,3d_frame,2,6,5.0,-55.291981032192524
9,3d_frame,2,8,9.433981132056603,102.72642714439654
10,3d_frame,4,6,9.433981132056603,102.72642714439652
