element,type,node_i,node_j,length,axial_force
1,3d_frame,1,2,10.0,-171.74214068587884
2,3d_frame,2,3,4.0,-73.02273459650272
3,3d_frame,3,4,4.0,-73.02273459650272
4,3d_frame,5,6,10.0,-171.74214068587884
5,3d_frame,6,7,4.0,-73.02273459650284
6,3d_frame,7,8,4.0,-73.02273459650279
7,3d_frame,1,5,5.0,0.0
8,3d_frame,2,6,5.0,25.077881807044136
9,3d_frame,2,8,9.433981132056603,-48.988556085259845
10,3d_frame,4,6,9.433981132056603,-48.988556085259845
