node,ux,uy,uz,rx,ry,rz
1,0.0,0.0,0.0,0.0,0.0,0.0
2,0.00052754682944425,-5.017600304888092e-05,-0.001669240137466963,-0.012642417012178815,-0.08107417864284415,2.0481968643688137e-05
3,0.00026377341472212505,1.4649606669378426e-05,0.12008393710107841,-0.04359286739055615,-0.0012667937580672227,9.10141829827582e-06
4,0.0,0.0,0.0,-0.07454331776893347,0.08488942357201279,-1.9255639550130744e-05
5,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0005275468294442505,5.017600304888191e-05,-0.001669240137466963,0.012642417012178811,-0.08107417864284415,-2.048196864368828e-05
7,0.0002637734147221252,-1.4649606669377928e-05,0.12008393710107837,0.04359286739055609,-0.0012667937580672032,-9.101418298275944e-06
8,0.0,0.0,0.0,0.07454331776893336,0.08488942357201273,1.925563955013063e-05
